Target_ID,RA (deg),Dec (deg),Peak_Time_MJD,Redshift,Peak_Magnitude
ULTRASAT_SN_12639,253.01048,56.58764,59262.547,0.09995,19.11789
ULTRASAT_SN_12712,262.91522,66.25758,59260.652,0.08075,18.38663
ULTRASAT_SN_12735,260.077,66.44839,59193.0,0.11595,19.36066
ULTRASAT_SN_12792,256.80096,55.170536,59248.074,0.10995,20.140738
ULTRASAT_SN_12827,50.031822,-44.87014,59042.17,0.11875,19.609875
ULTRASAT_SN_12889,58.31966,-44.666695,59052.016,0.11155,20.978321
ULTRASAT_SN_12949,55.184223,-40.625793,59113.39,0.11915,20.561836
ULTRASAT_SN_12983,258.61652,52.90599,59323.777,0.06365,18.717575
ULTRASAT_SN_13049,65.40422,-40.538998,59118.633,0.07945,19.057888
ULTRASAT_SN_13110,61.350384,-49.840538,59173.7,0.12465,20.845772
ULTRASAT_SN_13224,65.65593,-42.12073,59036.41,0.11155,18.99068
ULTRASAT_SN_13531,254.34996,59.380096,59330.67,0.03795,16.896923
ULTRASAT_SN_13541,48.506645,-43.906067,59037.81,0.11965,18.808207
ULTRASAT_SN_13740,245.56453,58.556263,59209.16,0.07105,19.7801
ULTRASAT_SN_14102,253.41864,58.821156,59186.26,0.09215,18.36992
ULTRASAT_SN_14598,232.5525,62.163937,59265.4,0.07455,17.71944
ULTRASAT_SN_14948,54.74289,-48.653095,59113.586,0.08355,18.948727
ULTRASAT_SN_15034,244.4649,57.905647,59163.285,0.10565,18.658623
ULTRASAT_SN_15211,249.82396,62.41323,59165.168,0.12605,19.963177
ULTRASAT_SN_15462,49.222294,-40.276478,59142.758,0.05105,18.015362
ULTRASAT_SN_15463,67.43614,-48.953964,59199.54,0.12785,19.59906
ULTRASAT_SN_15567,57.624146,-47.37424,59139.598,0.04105,20.039608
ULTRASAT_SN_15634,259.443,65.392166,59327.094,0.07885,18.193062
ULTRASAT_SN_16076,57.907963,-51.04841,59064.223,0.06565,17.731062
ULTRASAT_SN_16949,60.287735,-44.188923,59196.78,0.09875,18.953144
ULTRASAT_SN_16982,67.385056,-51.397465,59013.605,0.12175,19.50793
ULTRASAT_SN_17027,64.50117,-39.725163,59051.742,0.12355,20.105873
ULTRASAT_SN_17044,54.669113,-48.358814,59187.426,0.10895,18.994822
ULTRASAT_SN_17052,63.284073,-46.801064,59115.254,0.12345,19.343473
ULTRASAT_SN_17115,237.16846,61.876404,59292.652,0.11075,19.59675
ULTRASAT_SN_17163,262.93665,63.604214,59205.547,0.08915,18.907486
ULTRASAT_SN_17280,62.625134,-45.710724,59090.387,0.11535,19.354515
ULTRASAT_SN_17283,48.592285,-52.501606,59178.29,0.08725,18.974024
ULTRASAT_SN_17467,53.731354,-44.24038,59068.348,0.10085,18.94512
ULTRASAT_SN_17633,244.73299,57.182323,59350.316,0.12135,19.250763
ULTRASAT_SN_17656,57.493916,-51.057674,59070.71,0.07935,18.593603
ULTRASAT_SN_17692,247.31891,56.81849,59275.02,0.11605,19.423244
